Model,Count,True Label,Predicted Label
baseline_emb_avg,202,HOME & LIVING,WELLNESS
baseline_emb_avg,194,ENTERTAINMENT,COMEDY
baseline_emb_avg,183,POLITICS,WORLD NEWS
baseline_emb_avg,129,POLITICS,MEDIA
baseline_emb_avg,120,POLITICS,COMEDY
baseline_emb_avg,117,POLITICS,BUSINESS
baseline_emb_avg,109,WELLNESS,HOME & LIVING
baseline_emb_avg,105,POLITICS,CRIME
baseline_emb_avg,94,POLITICS,IMPACT
baseline_emb_avg,93,POLITICS,RELIGION
baseline_ltsm,723,POLITICS,SPORTS
baseline_ltsm,501,ENTERTAINMENT,WEIRD NEWS
baseline_ltsm,430,PARENTING,WELLNESS
baseline_ltsm,412,STYLE,FOOD & DRINK
baseline_ltsm,307,WELLNESS,FIFTY
baseline_ltsm,270,WELLNESS,TRAVEL
baseline_ltsm,253,WORLD NEWS,SPORTS
baseline_ltsm,248,PARENTING,FIFTY
baseline_ltsm,240,POLITICS,ENTERTAINMENT
baseline_ltsm,240,ENTERTAINMENT,SPORTS
baseline_Bi_LTSM,227,HOME & LIVING,WELLNESS
baseline_Bi_LTSM,165,POLITICS,WORLD NEWS
baseline_Bi_LTSM,136,POLITICS,MEDIA
baseline_Bi_LTSM,124,POLITICS,BUSINESS
baseline_Bi_LTSM,106,POLITICS,CRIME
baseline_Bi_LTSM,105,WELLNESS,PARENTING
baseline_Bi_LTSM,101,ENTERTAINMENT,COMEDY
baseline_Bi_LTSM,88,POLITICS,BLACK VOICES
baseline_Bi_LTSM,86,POLITICS,WOMEN
baseline_Bi_LTSM,80,POLITICS,IMPACT
baseline_withDroput_withoutLTSM,279,HOME & LIVING,WELLNESS
baseline_withDroput_withoutLTSM,189,POLITICS,WOMEN
baseline_withDroput_withoutLTSM,169,POLITICS,BUSINESS
baseline_withDroput_withoutLTSM,161,POLITICS,RELIGION
baseline_withDroput_withoutLTSM,161,POLITICS,IMPACT
baseline_withDroput_withoutLTSM,135,POLITICS,ENVIRONMENT
baseline_withDroput_withoutLTSM,123,POLITICS,QUEER VOICES
baseline_withDroput_withoutLTSM,119,ENTERTAINMENT,QUEER VOICES
baseline_withDroput_withoutLTSM,115,POLITICS,WORLD NEWS
baseline_withDroput_withoutLTSM,104,WELLNESS,HOME & LIVING
distilBERT,279,HOME & LIVING,WELLNESS
distilBERT,189,POLITICS,WOMEN
distilBERT,169,POLITICS,BUSINESS
distilBERT,161,POLITICS,RELIGION
distilBERT,161,POLITICS,IMPACT
distilBERT,135,POLITICS,ENVIRONMENT
distilBERT,123,POLITICS,QUEER VOICES
distilBERT,119,ENTERTAINMENT,QUEER VOICES
distilBERT,115,POLITICS,WORLD NEWS
distilBERT,104,WELLNESS,HOME & LIVING
distilBERT,379,HOME & LIVING,WELLNESS
distilBERT,176,COMEDY,ENTERTAINMENT
distilBERT,165,MEDIA,POLITICS
distilBERT,149,BUSINESS,POLITICS
distilBERT,141,COMEDY,POLITICS
distilBERT,140,BLACK VOICES,ENTERTAINMENT
distilBERT,136,PARENTING,WELLNESS
distilBERT,126,BLACK VOICES,POLITICS
distilBERT,114,QUEER VOICES,ENTERTAINMENT
distilBERT,109,WELLNESS,PARENTING
